Year,Statistic,Name,Team,Value
1982,Shutouts,Steve Carlton,Philadelphia,6.0
1982,Strikeouts,Steve Carlton,Philadelphia,286.0
1982,Winning Percentage,Phil Niekro,Atlanta,0.81
1982,Wins,Steve Carlton,Philadelphia,23.0
1983,Complete Games,Mario Soto,Cincinnati,18.0
1983,ERA,Atlee Hammaker,San Francisco,2.25
1983,Games,Bill Campbell,Chicago,82.0
1983,Saves,Lee Smith,Chicago,29.0
1983,Shutouts,Steve Rogers,Montreal,5.0
1983,Strikeouts,Steve Carlton,Philadelphia,275.0
1983,Winning Percentage,John Denny,Philadelphia,0.76
1983,Wins,John Denny,Philadelphia,19.0
1997,Complete Games,Pedro Martinez,Montreal,13.0
1997,ERA,Pedro Martinez,Montreal,1.9
1997,Games,Julian Tavarez,San Francisco,89.0
1997,Saves,Jeff Shaw,Cincinnati,42.0
1997,Shutouts,Carlos Perez,Montreal,5.0
1997,Strikeouts,Curt Schilling,Philadelphia,319.0
1997,Winning Percentage,Greg Maddux,Atlanta,0.826
1997,Wins,Denny Neagle,Atlanta,20.0
1968,Complete Games,Juan Marichal,San Francisco,30.0
1968,ERA,Bob Gibson,St. Louis,1.12
1968,Games,Ted Abernathy,Cincinnati,78.0
1968,Saves,Phil Regan,Los Angeles,25.0
1968,Shutouts,Bob Gibson,St. Louis,13.0
1968,Strikeouts,Bob Gibson,St. Louis,268.0
1968,Winning Percentage,Steve Blass,Pittsburgh,0.75
1968,Wins,Juan Marichal,San Francisco,26.0
1940,Complete Games,Bucky Walters,Cincinnati,29.0
1940,ERA,Bucky Walters,Cincinnati,2.48
1940,Games,Clyde Shoun,St. Louis,54.0
1940,Saves,Joe Beggs,Cincinnati,7.0
1940,Shutouts,Manny Salvo,Boston,5.0
1940,Strikeouts,Kirby Higbe,Philadelphia,137.0
1940,Winning Percentage,Freddie Fitzsimmons,Brooklyn,0.889
1940,Wins,Bucky Walters,Cincinnati,22.0
1954,Complete Games,Robin Roberts,Philadelphia,29.0
1954,ERA,Johnny Antonelli,New York,2.3
1954,Games,Jim Hughes,Brooklyn,60.0
1954,Saves,Jim Hughes,Brooklyn,24.0
1954,Shutouts,Johnny Antonelli,New York,6.0
1954,Strikeouts,Robin Roberts,Philadelphia,185.0
1954,Winning Percentage,Johnny Antonelli,New York,0.75
1954,Wins,Robin Roberts,Philadelphia,23.0
1942,Complete Games,Jim Tobin,Boston,28.0
1942,ERA,Mort Cooper,St. Louis,1.78
1942,Games,Ace Adams,New York,61.0
1942,Saves,Hugh Casey,Brooklyn,13.0
1942,Shutouts,Mort Cooper,St. Louis,10.0
1942,Strikeouts,Johnny Vander Meer,Cincinnati,186.0
1942,Winning Percentage,Larry French,Brooklyn,0.789
1942,Wins,Mort Cooper,St. Louis,22.0
1956,Complete Games,Robin Roberts,Philadelphia,22.0
1956,ERA,Lew Burdette,Milwaukee,2.7
1956,Games,Roy Face,Pittsburgh,68.0
1956,Saves,Clem Labine,Brooklyn,19.0
1956,Shutouts,Lew Burdette,Milwaukee,6.0
1956,Strikeouts,Sam Jones,Chicago,176.0
1956,Winning Percentage,Don Newcombe,Brooklyn,0.794
1956,Wins,Don Newcombe,Brooklyn,27.0
1981,Complete Games,Fernando Valenzuela,Los Angeles,11.0
1981,ERA,Nolan Ryan,Houston,1.69
1981,Games,Gary Lucas,San Diego,57.0
1981,Saves,Bruce Sutter,St. Louis,25.0
1981,Shutouts,Fernando Valenzuela,Los Angeles,8.0
1981,Strikeouts,Fernando Valenzuela,Los Angeles,180.0
1981,Winning Percentage,Tom Seaver,Cincinnati,0.875
1981,Wins,Tom Seaver,Cincinnati,14.0
1995,Complete Games,Greg Maddux,Atlanta,10.0
1995,ERA,Greg Maddux,Atlanta,1.63
1995,Games,Curt Leskanic,Colorado,76.0
1995,Saves,Randy Myers,Chicago,38.0
1995,Shutouts,Hideo Nomo,Los Angeles,3.0
1995,Strikeouts,Hideo Nomo,Los Angeles,236.0
1995,Winning Percentage,Greg Maddux,Atlanta,0.905
1995,Wins,Greg Maddux,Atlanta,19.0
1994,Complete Games,Greg Maddux,Atlanta,10.0
1994,ERA,Greg Maddux,Atlanta,1.56
1994,Games,Steve Reed,Colorado,61.0
1994,Saves,John Franco,New York,30.0
1994,Shutouts,Greg Maddux,Atlanta,3.0
1994,Strikeouts,Andy Benes,San Diego,189.0
1994,Winning Percentage,Bret Saberhagen,New York,0.778
1994,Wins,Ken Hill,Montreal,16.0
1980,Complete Games,Steve Rogers,Montreal,14.0
1980,ERA,Don Sutton,Los Angeles,2.2
1980,Games,Dick Tidrow,Chicago,84.0
1980,Saves,Bruce Sutter,St. Louis,28.0
1980,Shutouts,Jerry Reuss,Los Angeles,6.0
1980,Strikeouts,Steve Carlton,Philadelphia,286.0
1980,Winning Percentage,Jim Bibby,Pittsburgh,0.76
1980,Wins,Steve Carlton,Philadelphia,24.0
1957,Complete Games,Warren Spahn,Milwaukee,18.0
1957,ERA,Johnny Podres,Brooklyn,2.66
1957,Games,Turk Lown,Chicago,67.0
1957,Saves,Clem Labine,Brooklyn,17.0
1957,Shutouts,Johnny Podres,Brooklyn,6.0
1957,Strikeouts,Jack Sanford,Philadelphia,188.0
1957,Winning Percentage,Bob Buhl,Milwaukee,0.72
1957,Wins,Warren Spahn,Milwaukee,21.0
1943,Complete Games,Rip Sewell,Pittsburgh,25.0
1943,ERA,Max Lanier,St. Louis,1.94
1943,Games,Ace Adams,New York,70.0
1943,Saves,Les Webber,Brooklyn,10.0
1943,Shutouts,Hi Bithorn,Chicago,7.0
1943,Strikeouts,Johnny Vander Meer,Cincinnati,174.0
1943,Winning Percentage,Mort Cooper,St. Louis,0.724
1943,Wins,Mort Cooper,St. Louis,21.0
1918,Complete Games,Art Nehf,Boston,28.0
1918,ERA,Hippo Vaughn,Chicago,1.74
1918,Games,Burleigh Grimes,Brooklyn,40.0
1918,Saves,Fred Anderson,New York,3.0
1918,Shutouts,Hippo Vaughn,Chicago,8.0
1918,Strikeouts,Hippo Vaughn,Chicago,148.0
1918,Winning Percentage,Claude Hendrix,Chicago,0.741
1918,Wins,Hippo Vaughn,Chicago,22.0
1924,Complete Games,Burleigh Grimes,Brooklyn,30.0
1924,ERA,Dazzy Vance,Brooklyn,2.16
1924,Games,Ray Kremer,Pittsburgh,41.0
1924,Saves,Jakie May,Cincinnati,6.0
1924,Shutouts,Jesse Barnes,Boston,4.0
1924,Strikeouts,Dazzy Vance,Brooklyn,262.0
1924,Winning Percentage,Emil Yde,Pittsburgh,0.842
1924,Wins,Dazzy Vance,Brooklyn,28.0
1930,Complete Games,Erv Brame,Pittsburgh,22.0
1930,ERA,Dazzy Vance,Brooklyn,2.61
1930,Games,Hal Elliott,Philadelphia,48.0
1930,Saves,Hi Bell,St. Louis,8.0
1930,Shutouts,Charlie Root,Chicago,4.0
1930,Strikeouts,Bill Hallahan,St. Louis,177.0
1930,Winning Percentage,Freddie Fitzsimmons,New York,0.731
1930,Wins,Ray Kremer,Pittsburgh,20.0
2008,Complete Games,C.C. Sabathia,Milwaukee,7.0
2008,ERA,Johan Santana,New York,2.53
2008,Games,Pedro Feliciano,New York,86.0
2008,Saves,Jose Valverde,Houston,44.0
2008,Shutouts,C.C. Sabathia,Milwaukee,3.0
2008,Strikeouts,Tim Lincecum,San Francisco,265.0
2008,Winning Percentage,Tim Lincecum,San Francisco,0.783
2008,Wins,Brandon Webb,Arizona,22.0
2020,Complete Games,Trevor Bauer,Cincinnati Reds,2.0
2020,ERA,Trevor Bauer,Cincinnati Reds,1.73
2020,Games,Tyler Rogers,San Francisco Giants,29.0
2020,Saves,Josh Hader,Milwaukee Brewers,13.0
2020,Shutouts,Trevor Bauer,Cincinnati Reds,2.0
2020,Strikeouts,Jacob deGrom,New York Mets,104.0
2020,Winning Percentage,Max Fried,Atlanta Braves,1.0
2020,Wins,Yu Darvish,Chicago Cubs,8.0
1878,Complete Games,Tommy Bond,Boston,57.0
1878,ERA,John Ward,Providence,1.51
1878,Games,Tommy Bond,Boston,59.0
1878,Saves,Tom Healey,Providence,2.0
1878,Shutouts,Tommy Bond,Boston,9.0
1878,Strikeouts,Tommy Bond,Boston,182.0
1878,Winning Percentage,Harry Wheeler,Providence,0.857
1878,Wins,Tommy Bond,Boston,40.0
1893,Complete Games,Amos Rusie,New York,50.0
1893,ERA,Ted Breitenstein,St. Louis,3.18
1893,Games,Amos Rusie,New York,56.0
1893,Saves,Mark Baldwin,New York,2.0
1893,Shutouts,Red Ehret,Pittsburgh,4.0
1893,Strikeouts,Amos Rusie,New York,208.0
1893,Winning Percentage,Hank Gastright,Pittsburgh,0.75
1893,Wins,Frank Killen,Pittsburgh,36.0
1887,Complete Games,John Clarkson,Chicago,56.0
1887,ERA,Dan Casey,Philadelphia,2.86
1887,Games,John Clarkson,Chicago,60.0
1887,Saves,Lady Baldwin,Chicago,1.0
1887,Shutouts,Dan Casey,Philadelphia,4.0
1887,Strikeouts,John Clarkson,Chicago,237.0
1887,Winning Percentage,Charlie Getzien,Detroit,0.69
1887,Wins,John Clarkson,Chicago,38.0
1886,Complete Games,Tim Keefe,New York,62.0
1886,ERA,Henry Boyle,St. Louis,1.76
1886,Games,Tim Keefe,New York,64.0
1886,Saves,Charlie Ferguson,Philadelphia,2.0
1886,Shutouts,Lady Baldwin,Detroit,7.0
1886,Strikeouts,Lady Baldwin,Detroit,323.0
1886,Winning Percentage,Jocko Flynn,Chicago,0.793
1886,Wins,Lady Baldwin,Detroit,42.0
1892,Complete Games,Bill Hutchison,Chicago,67.0
1892,ERA,Cy Young,Cleveland,1.93
1892,Games,Bill Hutchison,Chicago,75.0
1892,Saves,Gus Weyhing,Philadelphia,3.0
1892,Shutouts,Cy Young,Cleveland,9.0
1892,Strikeouts,Bill Hutchison,Chicago,314.0
1892,Winning Percentage,Mike Sullivan,Cincinnati,0.75
1892,Wins,Bill Hutchison,Chicago,36.0
1879,Complete Games,Will White,Cincinnati,75.0
1879,ERA,Tommy Bond,Boston,1.96
1879,Games,Will White,Cincinnati,76.0
1879,Saves,Bobby Mathews,Providence,2.0
1879,Shutouts,Tommy Bond,Boston,11.0
1879,Strikeouts,John Ward,Providence,239.0
1879,Winning Percentage,John Ward,Providence,0.712
1879,Wins,John Ward,Providence,47.0
2021,Complete Games,German Marquez,Colorado Rockies,3.0
2021,ERA,Corbin Burnes,Milwaukee Brewers,2.43
2021,Games,Tyler Rogers,San Francisco Giants,80.0
2021,Saves,Mark Melancon,San Diego Padres,39.0
2021,Shutouts,Anthony DeSclafani,San Francisco Giants,2.0
2021,Strikeouts,Zack Wheeler,Philadelphia Phillies,247.0
2021,Winning Percentage,Julio Urias,Los Angeles Dodgers,0.87
